dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label
5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,24,2,7,7,7,24,0,0,0,7,24,0,1
4e-06,sctp,-,INT,2,0,640,0,250000.0006,254,0,640000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,320,0,0,0,2,2,2,2,2,2,0,0,0,2,2,0,1
4e-06,ipcv,-,INT,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,12,2,3,2,2,16,0,0,0,3,12,0,1
3e-06,unas,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,2,2,2,2,0,0,0,5,2,0,1
0.022061,tcp,ftp,FIN,52,54,2934,3742,4759.530469,31,29,1043651.688,1331943.25,11,15,0.42649,0.414115,29.972946,0.732235,255,1516912252,1518236913,255,0.00064,0.000522,0.000118,56,69,0,0,1,0,5,1,1,4,1,1,0,5,1,0,0
6e-06,unas,-,INT,2,0,200,0,166666.6608,254,0,133333328.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,3,2,2,3,0,0,0,4,3,0,1
3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,18,2,17,16,16,18,0,0,0,16,18,0,1
1.207876,tcp,http,FIN,14,18,1684,10168,25.664887,31,29,10358.67969,63609.17969,3,5,92.887075,71.019647,8853.340767,7752.628472,255,3164663890,1069526965,255,0.000698,0.000539,0.000159,120,565,1,3924,3,0,3,1,1,1,0,0,1,3,1,0,0
1.061927,tcp,-,FIN,16,10,936,556,23.542109,254,252,6614.391113,3774.270996,5,3,70.788469,109.842109,3690.498823,130.44682,255,2605683984,481026316,255,0.139785,0.073316,0.066469,59,56,0,0,2,1,2,2,2,2,0,0,0,2,2,0,1
8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,33,2,34,33,16,33,0,0,0,33,33,0,1
1e-06,il,-,INT,2,0,200,0,1000000.003,254,0,800000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,1,1,1,5,0,0,0,1,4,0,1
3e-06,isis,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,8,2,6,5,5,10,0,0,0,6,8,0,1
1.103585,tcp,-,FIN,70,14,84867,612,75.209431,254,252,606423.625,4124.73877,32,1,16.229191,78.498844,1682.355858,93.230187,255,1024944066,209514739,255,0.150255,0.08208,0.068175,1212,44,0,0,14,1,1,2,1,3,0,0,0,3,3,0,1
3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,29,2,17,17,17,29,0,0,0,17,29,0,1
0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.792,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0
0.044187,tcp,-,FIN,60,62,3598,48710,2738.362076,31,29,640731.4375,8676760.0,7,24,0.753224,0.727283,47.334438,45.808707,255,974099265,3123963949,255,0.000669,0.00054,0.000129,60,786,0,0,8,0,4,1,1,1,0,0,0,3,3,0,0
3.386577,tcp,smtp,FIN,60,26,53990,2006,25.099091,62,252,125415.1328,4556.813477,26,8,57.383898,132.611687,5785.251089,244.24025,255,1190626500,667067124,255,0.134527,0.07128,0.063247,900,77,0,0,1,1,1,1,1,1,0,0,0,2,1,0,1
8e-06,ax.25,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,2,2,2,6,0,0,0,2,6,0,1
5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,20,2,5,4,4,21,0,0,0,4,20,0,1
3e-06,udp,-,INT,2,0,2774,0,333333.3215,254,0,3698666496.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1387,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0,1
5e-06,udp,-,INT,2,0,168,0,200000.0051,254,0,134400000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,2,0,1
1e-05,cphb,-,INT,2,0,200,0,100000.0025,254,0,80000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,2,2,2,7,0,0,0,23,7,0,1
0.000999,udp,dns,CON,2,2,146,178,3003.002883,31,29,584584.5625,712712.6875,0,0,0.005,0.003,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,0,1,1,1,1,0,0,0,2,1,0,0
0.840453,tcp,ftp-data,FIN,8,12,424,8824,22.606855,31,29,3531.428711,76996.57031,1,4,120.020853,76.364366,8083.165873,6424.064314,255,3730561210,2476410101,255,0.000554,0.000442,0.000112,53,735,0,0,4,0,2,1,1,3,0,0,0,2,2,0,0
0.001085,udp,dns,CON,2,2,130,162,2764.976968,31,29,479262.6875,597235.0,0,0,0.008,0.004,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,2,0,1,1,1,2,0,0,0,9,2,0,0
0.665089,tcp,http,FIN,10,8,838,1122,25.560488,62,252,9081.491211,11811.95313,2,2,73.898778,80.510289,3558.268252,119.15375,255,2832017880,3239467988,255,0.185876,0.100428,0.085448,84,140,1,140,4,1,2,2,2,4,0,0,4,2,4,0,1
4e-06,udp,-,INT,2,0,1126,0,250000.0006,254,0,1126000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,563,0,0,0,13,2,4,2,1,13,0,0,0,5,13,0,0
0.958179,tcp,http,FIN,10,10,804,3422,19.82928,62,252,6044.799805,25715.44531,2,3,106.464333,89.485,5452.052712,5777.174976,255,732229664,1098256367,255,0.26778,0.152433,0.115347,80,342,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
