dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label
6e-06,udp,-,INT,2,0,168,0,166666.6608,254,0,112000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,4,2,1,1,1,1,0,0,0,2,1,0,1
3e-06,udp,-,INT,2,0,78,0,333333.3215,254,0,104000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,0,0,8,2,2,2,1,8,0,0,0,2,8,0,0
0.69726,tcp,-,FIN,10,6,1294,268,21.512778,254,252,13366.60645,2570.059814,2,1,71.402444,123.216797,3967.154229,185.008125,255,828937626,197746881,255,0.162913,0.081167,0.081746,129,45,0,0,5,1,1,1,1,5,0,0,0,2,5,0,1
3.527077,tcp,-,FIN,10,8,2530,354,4.819855,254,252,5164.616699,703.131836,2,1,381.548889,572.404312,24302.52835,704.321187,255,3962880627,2171020578,255,0.140203,0.09265,0.047553,253,44,0,0,3,1,1,1,1,2,0,0,0,1,2,0,0
2.083379,tcp,-,FIN,18,24,1020,12866,19.679568,62,252,3701.678711,47346.16016,6,10,122.551706,83.985435,6585.372387,5487.404716,255,563704861,32516642,255,0.2872,0.151006,0.136194,57,536,0,0,1,1,1,1,1,1,0,0,0,2,1,0,1
3e-06,tcp,-,REQ,2,0,90,0,333333.3215,254,0,119999992.0,0.0,1,0,0.003,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,5,6,2,1,1,4,0,0,0,2,4,0,0
8e-06,ospf,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,3,5,0,1
0.846604,tcp,smtp,FIN,20,20,2704,1684,46.066402,62,252,24275.8125,15119.22949,7,8,44.558104,44.101684,2107.77779,49.51682,255,2555072725,476853393,255,0.057186,0.007965,0.049221,135,84,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
5e-06,srp,-,INT,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,11,5,0,1
0.113878,tcp,-,FIN,60,62,3614,49342,1062.540643,31,29,249670.7031,3410457.0,7,24,1.924949,1.856803,97.736517,95.953188,255,2886614988,2886921580,255,0.000726,0.000606,0.00012,60,796,0,0,3,0,1,1,1,1,0,0,0,1,2,0,0
0.013863,tcp,-,FIN,36,38,2334,16290,5265.815447,31,29,1309961.75,9153574.0,7,12,0.387171,0.358243,22.192911,21.130426,255,3702184545,3702482585,255,0.000766,0.000598,0.000168,65,429,0,0,5,0,3,1,1,1,0,0,0,2,8,0,0
0.015796,tcp,-,FIN,46,48,2854,30622,5887.566421,31,29,1414028.875,15186123.0,7,17,0.343733,0.326085,0.0,19.237227,255,3488396810,1349320395,255,0.000585,0.000466,0.000119,62,638,0,0,13,0,1,1,1,1,0,0,0,2,3,0,0
0.406088,tcp,-,FIN,10,6,588,268,36.937807,254,252,10441.08691,4412.836914,2,1,43.114667,68.379,2533.132444,97.220297,255,753220640,3885565750,255,0.095297,0.06419,0.031107,59,45,0,0,5,1,1,1,1,2,0,0,0,1,2,0,0
0.652797,tcp,-,CON,6,2,978,86,10.723089,62,252,9987.791016,526.963196,2,1,130.5594,0.002,6838.98329,0.0,255,3292135949,806291017,255,0.42858,0.127001,0.301579,163,43,0,0,4,3,1,1,1,3,0,0,0,1,3,0,0
7e-06,udp,-,INT,2,0,168,0,142857.1409,254,0,96000000.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,3,1,1,1,0,0,0,1,6,0,1
0.481439,tcp,http,FIN,10,10,896,1268,39.465021,62,252,13409.79883,18976.44336,2,2,53.493222,48.114555,3470.862194,96.731719,255,952727396,162753676,255,0.092998,0.047645,0.045353,90,127,1,189,1,1,1,1,1,1,0,0,1,2,1,0,1
0.004905,udp,-,CON,4,4,568,304,1427.115228,31,29,694801.25,371865.4688,0,0,1.328,1.176,1.866055,1.653923,0,0,0,0,0.0,0.0,0.0,142,76,0,0,5,0,7,1,1,4,0,0,0,4,6,0,0
